Row Number,timestamp,temperature,condition,sunrise,sunset,timestamp,speed,direction,directionType,timestamp,surf,swells,timestamp,height,type
0,2025-09-29 00:00:00,21.58994,NIGHT_LIGHT_SHOWERS,1759091430.0,1759134285.0,2025-09-29 00:00:00,13.74889,185.25288,Onshore,2025-09-29 00:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.93, 'max': 1.11}}","[{'height': 1.34762, 'period': 5, 'spread': 29.77, 'direction': 168.36877}, {'height': 0.82102, 'period': 10, 'spread': 11.1, 'direction': 74.82477}, {'height': 0.82421, 'period': 10, 'spread': 8.22, 'direction': 108.34027}, {'height': 0.18908, 'period': 9, 'spread': 6.44, 'direction': 144.48981}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 00:00:00,0.6,NORMAL
1,2025-09-29 01:00:00,21.48994,NIGHT_OVERCAST,1759177881.0,1759220592.0,2025-09-29 01:00:00,14.10841,185.13199,Onshore,2025-09-29 01:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.91, 'max': 1.09}}","[{'height': 1.39114, 'period': 5, 'spread': 29.29, 'direction': 165.59387}, {'height': 0.81389, 'period': 10, 'spread': 11.13, 'direction': 74.84534}, {'height': 0.80578, 'period': 10, 'spread': 8.13, 'direction': 107.90674}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 01:00:00,0.49,NORMAL
2,2025-09-29 02:00:00,21.72991,NIGHT_LIGHT_SHOWERS,1759264333.0,1759306899.0,2025-09-29 02:00:00,20.57291,185.58863,Onshore,2025-09-29 02:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.9, 'max': 1.08}}","[{'height': 1.45907, 'period': 5, 'spread': 29.22, 'direction': 165.10651}, {'height': 0.77103, 'period': 10, 'spread': 10.36, 'direction': 73.31567}, {'height': 0.82613, 'period': 10, 'spread': 8.89, 'direction': 106.70984}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 02:00:00,0.44,NORMAL
3,2025-09-29 03:00:00,21.58779,NIGHT_RAIN,1759350785.0,1759393207.0,2025-09-29 03:00:00,20.30477,169.59902,Onshore,2025-09-29 03:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.91, 'max': 1.08}}","[{'height': 1.52321, 'period': 5, 'spread': 28.3, 'direction': 167.50824}, {'height': 0.77051, 'period': 9, 'spread': 10.48, 'direction': 73.42706}, {'height': 0.83521, 'period': 10, 'spread': 8.83, 'direction': 106.77094}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 03:00:00,0.48,NORMAL
4,2025-09-29 04:00:00,21.35957,NIGHT_RAIN,1759437237.0,1759479516.0,2025-09-29 04:00:00,11.51102,191.79981,Cross-shore,2025-09-29 04:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.75, 'max': 1.05}}","[{'height': 1.35413, 'period': 5, 'spread': 29.1, 'direction': 164.24347}, {'height': 0.80185, 'period': 10, 'spread': 11.1, 'direction': 74.99542}, {'height': 0.7923, 'period': 10, 'spread': 7.65, 'direction': 108.11469}, {'height': 0.18339, 'period': 9, 'spread': 5.37, 'direction': 145.69263}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 04:00:00,0.58,NORMAL
5,2025-09-29 05:00:00,21.77214,NIGHT_BRIEF_SHOWERS_POSSIBLE,1759523690.0,1759565825.0,2025-09-29 05:00:00,16.57321,181.1699,Onshore,2025-09-29 05:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.74, 'max': 1.05}}","[{'height': 1.38466, 'period': 5, 'spread': 28.01, 'direction': 163.54791}, {'height': 0.7912, 'period': 10, 'spread': 11.11, 'direction': 74.95605}, {'height': 0.77925, 'period': 9, 'spread': 7.65, 'direction': 108.01965}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 05:00:00,0.71,NORMAL
6,2025-09-29 06:00:00,21.65469,RAIN,1759610142.0,1759652134.0,2025-09-29 06:00:00,16.54896,192.38692,Cross-shore,2025-09-29 06:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.7, 'max': 1}}","[{'height': 1.44317, 'period': 6, 'spread': 28.55, 'direction': 164.13849}, {'height': 0.78029, 'period': 10, 'spread': 11.15, 'direction': 75.01538}, {'height': 0.74634, 'period': 9, 'spread': 7.6, 'direction': 107.57843}, {'height': 0.17758, 'period': 9, 'spread': 5.31, 'direction': 145.30655}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 06:00:00,0.84,NORMAL
7,2025-09-29 07:00:00,21.76765,LIGHT_RAIN,1759696596.0,1759738444.0,2025-09-29 07:00:00,20.18229,193.71313,Cross-shore,2025-09-29 07:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.75, 'max': 1.06}}","[{'height': 1.65413, 'period': 6, 'spread': 29.53, 'direction': 168.41602}, {'height': 0.7683, 'period': 10, 'spread': 11.23, 'direction': 75.21899}, {'height': 0.71155, 'period': 9, 'spread': 7.46, 'direction': 107.31335}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 07:00:00,0.95,NORMAL
8,2025-09-29 08:00:00,21.96182,LIGHT_SHOWERS,1759783049.0,1759824754.0,2025-09-29 08:00:00,17.37291,197.99425,Cross-shore,2025-09-29 08:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.91, 'max': 1.09}}","[{'height': 1.60513, 'period': 6, 'spread': 29.69, 'direction': 167.99786}, {'height': 0.75292, 'period': 9, 'spread': 11.28, 'direction': 75.3208}, {'height': 0.7139, 'period': 9, 'spread': 7.87, 'direction': 107.91724}, {'height': 0.17868, 'period': 9, 'spread': 5.27, 'direction': 145.32187}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 08:00:00,1.03,NORMAL
9,2025-09-29 09:00:00,24.42292,CLEAR,1759869503.0,1759911065.0,2025-09-29 09:00:00,17.33109,205.59829,Cross-shore,2025-09-29 09:00:00,"{'min': 0.6, 'max': 1.1, 'plus': False, 'humanRelation': 'Thigh to stomach', 'raw': {'min': 0.72, 'max': 1.02}}","[{'height': 1.30364, 'period': 6, 'spread': 28.36, 'direction': 165.6413}, {'height': 0.76221, 'period': 9, 'spread': 11.4, 'direction': 75.09906}, {'height': 0.71847, 'period': 9, 'spread': 7.52, 'direction': 107.1842}, {'height': 0.18865, 'period': 9, 'spread': 5.32, 'direction': 145.85358}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 09:00:00,1.06,NORMAL
10,2025-09-29 10:00:00,26.47219,THUNDER_SHOWERS,1759955957.0,1759997377.0,2025-09-29 10:00:00,22.98789,264.60861,Offshore,2025-09-29 10:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.67, 'max': 0.97}}","[{'height': 1.26708, 'period': 6, 'spread': 30.01, 'direction': 165.24396}, {'height': 0.71974, 'period': 10, 'spread': 11.03, 'direction': 73.89392}, {'height': 0.74377, 'period': 9, 'spread': 8.87, 'direction': 105.98962}, {'height': 0.17799, 'period': 9, 'spread': 5.49, 'direction': 145.45007}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 10:00:00,1.05,NORMAL
11,2025-09-29 11:00:00,26.02781,CLOUDY,1760042412.0,1760083689.0,2025-09-29 11:00:00,20.10025,268.19108,Offshore,2025-09-29 11:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.66, 'max': 0.97}}","[{'height': 1.21466, 'period': 6, 'spread': 29.4, 'direction': 163.83496}, {'height': 0.70993, 'period': 10, 'spread': 11.1, 'direction': 74.08179}, {'height': 0.74738, 'period': 9, 'spread': 8.75, 'direction': 105.73151}, {'height': 0.17516, 'period': 9, 'spread': 5.4, 'direction': 145.48297}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 11:00:00,1.05,NORMAL
12,2025-09-29 12:00:00,26.42451,CLEAR,1760128866.0,1760170001.0,2025-09-29 12:00:00,18.34787,283.45093,Offshore,2025-09-29 12:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.68, 'max': 0.98}}","[{'height': 1.209, 'period': 6, 'spread': 27.71, 'direction': 162.17407}, {'height': 0.69797, 'period': 10, 'spread': 11.11, 'direction': 74.19849}, {'height': 0.75096, 'period': 9, 'spread': 9.1, 'direction': 106.09412}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-09-29 12:00:00,1.05,NORMAL
