Row Number,timestamp,temperature,condition,sunrise,sunset,timestamp,speed,direction,directionType,timestamp,surf,swells,timestamp,height,type
48,2025-10-09 00:00:00,23.33994,NIGHT_LIGHT_SHOWERS,,,2025-10-09 00:00:00,30.1138,49.35451,Offshore,2025-10-09 00:00:00,"{'min': 1.5, 'max': 2.1, 'plus': False, 'humanRelation': 'Head to 0.6m overhead', 'raw': {'min': 1.84162, 'max': 2.20068}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.08581, 'period': 14, 'spread': 14.77, 'direction': 189.63293}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 00:00:00,0.28,NORMAL
49,2025-10-09 01:00:00,22.55,NIGHT_LIGHT_RAIN,,,2025-10-09 01:00:00,34.09419,46.6064,Offshore,2025-10-09 01:00:00,"{'min': 1.8, 'max': 2.4, 'plus': False, 'humanRelation': 'Overhead to well overhead', 'raw': {'min': 1.96903, 'max': 2.35125}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.23093, 'period': 15, 'spread': 22.65, 'direction': 189.30145}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 01:00:00,0.38,NORMAL
50,2025-10-09 02:00:00,22.58555,NIGHT_LIGHT_SHOWERS,,,2025-10-09 02:00:00,36.61753,40.67248,Offshore,2025-10-09 02:00:00,"{'min': 1.8, 'max': 2.4, 'plus': False, 'humanRelation': 'Overhead to well overhead', 'raw': {'min': 2.07327, 'max': 2.47866}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.3343, 'period': 15, 'spread': 24.33, 'direction': 189.78082}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 02:00:00,0.6,NORMAL
51,2025-10-09 03:00:00,22.45259,NIGHT_LIGHT_SHOWERS,,,2025-10-09 03:00:00,38.49436,35.83548,Offshore,2025-10-09 03:00:00,"{'min': 1.8, 'max': 2.4, 'plus': False, 'humanRelation': 'Overhead to well overhead', 'raw': {'min': 2.17751, 'max': 2.60607}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.44575, 'period': 15, 'spread': 26.81, 'direction': 189.81653}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 03:00:00,0.89,NORMAL
52,2025-10-09 04:00:00,22.45259,NIGHT_LIGHT_SHOWERS,,,2025-10-09 04:00:00,42.31334,34.23087,Offshore,2025-10-09 04:00:00,"{'min': 1.8, 'max': 2.4, 'plus': False, 'humanRelation': 'Overhead to well overhead', 'raw': {'min': 2.28175, 'max': 2.73347}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.47058, 'period': 15, 'spread': 11.87, 'direction': 191.88739}, {'height': 0.68461, 'period': 3, 'spread': 30.71, 'direction': 51.04608}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 04:00:00,1.19,NORMAL
53,2025-10-09 05:00:00,21.82375,NIGHT_LIGHT_SHOWERS,,,2025-10-09 05:00:00,49.41106,33.39639,Offshore,2025-10-09 05:00:00,"{'min': 2.4, 'max': 3, 'plus': False, 'humanRelation': '2x overhead', 'raw': {'min': 2.386, 'max': 2.8493}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.53501, 'period': 16, 'spread': 11.35, 'direction': 191.78857}, {'height': 0.83592, 'period': 4, 'spread': 29.29, 'direction': 50.82385}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 05:00:00,1.43,NORMAL
54,2025-10-09 06:00:00,21.68188,LIGHT_SHOWERS,,,2025-10-09 06:00:00,51.36405,31.44403,Offshore,2025-10-09 06:00:00,"{'min': 2.4, 'max': 3, 'plus': False, 'humanRelation': '2x overhead', 'raw': {'min': 2.47866, 'max': 2.96512}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.58175, 'period': 16, 'spread': 10.89, 'direction': 191.42493}, {'height': 0.97914, 'period': 4, 'spread': 28.72, 'direction': 49.36194}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 06:00:00,1.55,NORMAL
55,2025-10-09 07:00:00,21.08719,LIGHT_SHOWERS,,,2025-10-09 07:00:00,54.72087,31.88024,Offshore,2025-10-09 07:00:00,"{'min': 2.4, 'max': 3, 'plus': False, 'humanRelation': '2x overhead', 'raw': {'min': 2.67556, 'max': 3.048}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.64215, 'period': 16, 'spread': 10.38, 'direction': 190.88062}, {'height': 1.1085, 'period': 4, 'spread': 28.17, 'direction': 48.52173}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 07:00:00,1.54,NORMAL
56,2025-10-09 08:00:00,20.74639,LIGHT_SHOWERS,,,2025-10-09 08:00:00,57.6895,30.11264,Offshore,2025-10-09 08:00:00,"{'min': 2.4, 'max': 3, 'plus': False, 'humanRelation': '2x overhead', 'raw': {'min': 2.55974, 'max': 3.048}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.69739, 'period': 16, 'spread': 10.32, 'direction': 189.92456}, {'height': 1.22143, 'period': 5, 'spread': 28.21, 'direction': 46.80847}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 08:00:00,1.41,NORMAL
57,2025-10-09 09:00:00,20.57875,OVERCAST,,,2025-10-09 09:00:00,58.35155,23.93717,Offshore,2025-10-09 09:00:00,"{'min': 2.4, 'max': 3, 'plus': False, 'humanRelation': '2x overhead', 'raw': {'min': 2.50182, 'max': 2.98829}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 2.72616, 'period': 15, 'spread': 10.28, 'direction': 188.3175}, {'height': 1.29218, 'period': 5, 'spread': 28.72, 'direction': 43.17078}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}]",2025-10-09 09:00:00,1.2,NORMAL
